name|sid|call|icon|city|state|tagline
KNSR-FM|119|KNSR|http://media.npr.org/images/stations/logos/knsr_fm.gif|Collegeville-St. Cloud|MN|Minnesota Public Radio
KNSW-FM|120|KNSW|http://media.npr.org/images/stations/logos/knsw_fm.gif|Worthington-Marshall|MN|Minnesota Public Radio
KNTN-FM|121|KNTN|http://media.npr.org/images/stations/logos/kntn_fm.gif|Thief River Falls|MN|Minnesota Public Radio
KXLC-FM|122|KXLC|http://media.npr.org/images/stations/logos/kxlc_fm.gif|La Crescent|MN|Minnesota Public Radio
KZSE-FM|123|KZSE|http://media.npr.org/images/stations/logos/kzse_fm.gif|Rochester|MN|Minnesota Public Radio
WGGL-FM|124|WGGL|http://media.npr.org/images/stations/logos/wggl_fm.gif|Houghton|MI|Minnesota Public Radio
WIRN-FM|125|WIRN|http://media.npr.org/images/stations/logos/wirn_fm.gif|Buhl|MN|Minnesota Public Radio
WSCN-FM|126|WSCN|http://media.npr.org/images/stations/logos/wscn_fm.gif|Cloquet|MN|Minnesota Public Radio
KNPR-FM|128|KNPR|http://media.npr.org/images/stations/logos/knpr_fm.gif|Las Vegas|NV|News 88.9 KNPR
KLNR-FM|129|KLNR|http://media.npr.org/images/stations/logos/klnr_fm.gif|Panaca|NV|Nevada Public Radio
KTPH-FM|130|KTPH|http://media.npr.org/images/stations/logos/ktph_fm.gif|Tonopah|NV|Nevada Public Radio
KWPR-FM|131|KWPR|http://media.npr.org/images/stations/logos/kwpr_fm.gif|Lund|NV|Nevada Public Radio
KOAC-AM|132|KOAC|http://media.npr.org/images/stations/logos/koac_am.gif|Corvallis|OR|Oregon Public Broadcasting
KOHM-FM|133|KOHM|http://media.npr.org/images/stations/logos/kohm_fm.gif|Lubbock|TX|Listener Supported Public Radio for the South Plains
Oregon Public Broadcasting|134|None|None|Portland|None|None
KOPB-FM|135|KOPB|http://media.npr.org/images/stations/logos/kopb_fm.gif|Portland|OR|Oregon Public Broadcasting
KOAB-FM|136|KOAB|http://media.npr.org/images/stations/logos/koab_fm.gif|Bend|OR|Oregon Public Broadcasting
KRBM-FM|137|KRBM|http://media.npr.org/images/stations/logos/krbm_fm.gif|Pendleton|OR|Oregon Public Broadcasting
KOSU-FM|138|KOSU|http://media.npr.org/images/stations/logos/kosu_fm.gif|Stillwater|OK|The State's Public Radio
KPBS-FM|139|KPBS|http://media.npr.org/images/stations/logos/kpbs_fm.gif|San Diego|CA|Where News Matters
KPBX-FM|141|KPBX|http://media.npr.org/images/stations/logos/kpbx_fm.gif|Spokane|WA|Music, News, and Arts for the Inland Northwest
KSFC-FM|143|KSFC|http://media.npr.org/images/stations/logos/ksfc_fm.gif|Spokane|WA|News and Information for the Inland Northwest
Southern California Public Radio|144|None|None|Pasadena|None|Southern California Public Radio
KPCC-FM|145|KPCC|http://media.npr.org/images/stations/logos/kpcc_fm.gif|Pasadena|CA|Southern California Public Radio
KPCW-FM|146|KPCW|http://media.npr.org/images/stations/logos/kpcw_fm.gif|Park City|UT|Your Community Voice
